id,summary,cluster
114746,?浙江杭州发现一例境外输入复阳无症状感染者,1
119311,河北｜石家庄：第三轮全员核酸检出阳性样本 30 例 83.3% 来自隔离点,1
119241,"记者从哈尔滨机场了解到：由于疫情防控工作需要，根据相关部门要求，即日（1月22日）起，哈尔滨机场长途巴士大庆往返哈尔滨线路临时停运，恢复时间另行通知，如有不便敬请广大旅客谅解。（总台央视记者 郭晓光）
（编辑 刘洋）",1
119250,"1月22日，银保监会首席风险官兼新闻发言人肖远企在国务院新闻办公室举行的新闻发布会上回答记者有关互联网公司美团近期宣布关停网络互助有关问题时介绍，美团互助确实是在1月15日下午5点发布公告宣布在1月31日正式关停互助业务。前段时间百度也宣布关闭互联网旗下互助平台。
肖远企表示，我们觉得美团互助偏离美团主业和逆选择风险的增加是它关闭的主要原因，下一步将对网络公司做网络互助业务进一步关注，了解其运行的",1
119218,"22日上午10时，吉林省通化市召开疫情防控第九场新闻发布会。会上，通化市副市长蒋海燕通报，2021年1月21日0—24时，通化市新增确诊病例9例，其中1例系由此前通报的无症状感染者转为确诊病例，本次输入性疫情通化市累计报告确诊病例132例。1月21日0—24时，通化市新增无症状感染者5例，现有无症状感染者32例。
目前，疫情防控工作进入关键阶段，核酸检测、流调排查、隔离管控、医疗救治、物资保障等工",1
119175,据北京西城官方微博22日消息，本轮疫情发生以来，外区确诊病例活动轨迹涉及西城区，北京市西城区已先后组织四轮相关行业人员及确诊病例活动轨迹所涉相关人员核酸检测45万余人次，结果均为阴性。考虑到近期外部输入风险增大，为确保全区广大居民、驻区单位工作人员生命安全和身体健康，北京市西城区新冠肺炎疫情防控工作领导小组决定，于1月22日至1月23日组织区域内全员核酸检测。请广大居民根据所在社区通知，驻区单位工,1
119196,据北京市东城区疫情防控工作领导小组22日消息，本轮疫情发生以来，在广大居民群众和驻区单位的共同努力下，目前北京东城区疫情防控工作平稳有序。考虑到近期外部输入风险增大，为确保全区广大居民、驻区单位工作人员生命安全和身体健康，于1月22日至1月23日分批次在东城区域内组织核酸检测。请广大居民根据所在社区通知，驻区单位工作人员在单位统一组织下，根据所在街道通知，及时有序参加检测。参加检测时，请携带本人身,1
119175,据北京西城官方微博22日消息，本轮疫情发生以来，外区确诊病例活动轨迹涉及西城区，北京市西城区已先后组织四轮相关行业人员及确诊病例活动轨迹所涉相关人员核酸检测45万余人次，结果均为阴性。考虑到近期外部输入风险增大，为确保全区广大居民、驻区单位工作人员生命安全和身体健康，北京市西城区新冠肺炎疫情防控工作领导小组决定，于1月22日至1月23日组织区域内全员核酸检测。请广大居民根据所在社区通知，驻区单位工,1
119154,"2021年1月21日0-24时，石家庄市新增新冠肺炎确诊病例15例。目前，对所有追踪到的密切接触者已全部采取集中隔离医学观察措施，各项防控措施有序进行。现将其行动轨迹公布如下：确诊病例1：女，53岁，藁城区西关镇慈上村人,为1月18日第24号确诊病例的岳母。2021年1月5日居村无外出，当日核酸检测呈阴性；1月6日乘私家车陪家人到藁城中西医结合医院妇产科做手术，当日核酸检测呈阴性；1月7日至12日",1
119142,2021年1月22日，总台央视记者从黑龙江省卫健委获悉，2021年1月21日0-17时，黑龙江省新增新冠肺炎确诊病例47例（绥化市望奎县35例，其中望奎县无症状感染者转为确诊病例7例，绥化海伦市无症状感染者转为确诊病例1例，大庆市肇州县无症状感染者转为确诊病例1例，哈尔滨市利民开发区7例，哈尔滨市呼兰区3例）。新增无症状感染者88例（绥化市望奎县42例，绥化海伦市8例，绥化安达市5例，哈尔滨市利民,1
