pubDate,continent(English)Name	,country(English)Name	,province(English)Name	,provinceShortName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,cities,updateTime
,,,,美国,5217184,32939156,0,27136020,585952,,,1621223480189
,,,,安徽,7,1001,0,988,6,,"[{'cityName': '六安', 'currentConfirmedCount': 5, 'confirmedCount': 74, 'suspectedCount': 0, 'curedCount': 69, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 6, 'locationId': 341500, 'currentConfirmedCountStr': '5', 'cityEnglishName': ""Lu'an""}, {'cityName': '合肥', 'currentConfirmedCount': 2, 'confirmedCount': 176, 'suspectedCount': 0, 'curedCount': 173, 'deadCount': 1, 'highDangerCount': 0, 'midDangerCount': 1, 'locationId': 340100, 'currentConfirmedCountStr': '2', 'cityEnglishName': 'Hefei'}, {'cityName': '蚌埠', 'currentConfirmedCount': 0, 'confirmedCount': 160, 'suspectedCount': 0, 'curedCount': 155, 'deadCount': 5, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340300, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Bengbu'}, {'cityName': '阜阳', 'currentConfirmedCount': 0, 'confirmedCount': 156, 'suspectedCount': 0, 'curedCount': 156, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341200, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Fuyang'}, {'cityName': '亳州', 'currentConfirmedCount': 0, 'confirmedCount': 108, 'suspectedCount': 0, 'curedCount': 108, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341600, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Bozhou'}, {'cityName': '安庆', 'currentConfirmedCount': 0, 'confirmedCount': 83, 'suspectedCount': 0, 'curedCount': 83, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340800, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Anqing'}, {'cityName': '宿州', 'currentConfirmedCount': 0, 'confirmedCount': 41, 'suspectedCount': 0, 'curedCount': 41, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341300, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Suzhou'}, {'cityName': '马鞍山', 'currentConfirmedCount': 0, 'confirmedCount': 38, 'suspectedCount': 0, 'curedCount': 38, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340500, 'currentConfirmedCountStr': '0', 'cityEnglishName': ""Ma'anshan""}, {'cityName': '芜湖', 'currentConfirmedCount': 0, 'confirmedCount': 34, 'suspectedCount': 0, 'curedCount': 34, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340200, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Wuhu'}, {'cityName': '铜陵', 'currentConfirmedCount': 0, 'confirmedCount': 29, 'suspectedCount': 0, 'curedCount': 29, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340700, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Tongling'}, {'cityName': '淮北', 'currentConfirmedCount': 0, 'confirmedCount': 27, 'suspectedCount': 0, 'curedCount': 27, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340600, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Huaibei'}, {'cityName': '淮南', 'currentConfirmedCount': 0, 'confirmedCount': 27, 'suspectedCount': 0, 'curedCount': 27, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 340400, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Huainan'}, {'cityName': '池州', 'currentConfirmedCount': 0, 'confirmedCount': 17, 'suspectedCount': 0, 'curedCount': 17, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341700, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Chizhou'}, {'cityName': '滁州', 'currentConfirmedCount': 0, 'confirmedCount': 13, 'suspectedCount': 0, 'curedCount': 13, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341100, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Chuzhou'}, {'cityName': '黄山', 'currentConfirmedCount': 0, 'confirmedCount': 9, 'suspectedCount': 0, 'curedCount': 9, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341000, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Huangshan'}, {'cityName': '宣城', 'currentConfirmedCount': 0, 'confirmedCount': 6, 'suspectedCount': 0, 'curedCount': 6, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 341800, 'currentConfirmedCountStr': '0', 'cityEnglishName': 'Xuancheng'}, {'cityName': '境外输入', 'currentConfirmedCount': 0, 'confirmedCount': 3, 'suspectedCount': 0, 'curedCount': 3, 'deadCount': 0, 'highDangerCount': 0, 'midDangerCount': 0, 'locationId': 0, 'currentConfirmedCountStr': '0'}]",1621218973754
,,,,津巴布韦,654,38554,0,36318,1582,,,1621216882650
,,,,列支敦士登,128,3073,0,2887,58,,,1621216882650
,,,,日本,76481,677988,0,590044,11463,,,1621216882650
,,,,新加坡,458,61536,0,61047,31,,,1621216882650
,,,,马耳他,158,30480,0,29905,417,,,1621216882650
,,,,斯洛文尼亚,242344,249014,0,2027,4643,,,1621216882650
,,,,立陶宛,21518,265536,0,239915,4103,,,1621216882650
,,,,保加利亚,34458,414192,0,362475,17259,,,1621216882650
